Season,WBAN,YearMonthDay,Tmax,TmaxFlag,Tmin,TminFlag,Tavg,TavgFlag,Depart,DepartFlag,DewPoint,DewPointFlag,WetBulb,WetBulbFlag,Heat,HeatFlag,Cool,CoolFlag,Sunrise,SunriseFlag,Sunset,SunsetFlag,CodeSum,CodeSumFlag,Depth,DepthFlag,Water1,Water1Flag,SnowFall,SnowFallFlag,PrecipTotal,PrecipTotalFlag,StnPressure,StnPressureFlag,SeaLevel,SeaLevelFlag,ResultSpeed,ResultSpeedFlag,ResultDir,ResultDirFlag,AvgSpeed,AvgSpeedFlag,Max5Speed,Max5SpeedFlag,Max5Dir,Max5DirFlag,Max2Speed,Max2SpeedFlag,Max2Dir,Max2DirFlag
Last Winter,94239,20151201,28, ,24, ,26, ,-5, ,18, ,23, ,39, ,0, ,727, ,1613, ,SN BR, ,M, ,M, ,M, ,0.02, ,29.01, ,30.39, ,0.1, ,24, ,1, ,7, ,230, ,6, ,210, 
Last Winter,94239,20151202,32, ,22, ,27, ,-4, ,23, ,27, ,38, ,0, ,728, ,1613, ,SN BR UP, ,M, ,M, ,M, ,0.07, ,28.9, ,30.26, ,2.6, ,30, ,2.7, ,12, ,320, ,9, ,320, 
Last Winter,94239,20151203,36, ,31, ,34, ,3, ,30, ,32, ,31, ,0, ,729, ,1612, ,RA FZRA SN BR UP, ,M, ,M, ,M, ,0.27, ,28.48, ,29.8, ,1.9, ,30, ,2.9, ,11, ,330, ,8, ,320, 
Last Winter,94239,20151204,39, ,32, ,36, ,5, ,32, ,34, ,29, ,0, ,731, ,1612, ,FG+ FG BR HZ, ,M, ,M, ,M, ,0, ,28.66, ,29.98, ,1, ,34, ,2, ,18, ,320, ,15, ,310, 
Last Winter,94239,20151205,34, ,32, ,33, ,2, ,31, ,32, ,32, ,0, ,732, ,1611, ,RA FZRA SN FG+ FG BR, ,M, ,M, ,M, ,0.34, ,28.8, ,30.15, ,1.3, ,8, ,1.8, ,11, ,110, ,8, ,110, 
Last Winter,94239,20151206,40, ,34, ,37, ,7, ,33, ,35, ,28, ,0, ,733, ,1611, ,RA FG+ FG BR HZ, ,M, ,M, ,M, ,0.02, ,28.62, ,29.97, ,1.6, ,31, ,2.3, ,10, ,70, ,8, ,310, 
Last Winter,94239,20151207,38, ,33, ,36, ,7, ,33, ,35, ,29, ,0, ,734, ,1611, ,RA FG+ FG BR, ,M, ,M, ,M, ,0.6, ,28.44, ,29.81, ,2.8, ,30, ,3.8, ,15, ,310, ,13, ,300, 
Last Winter,94239,20151208,41, ,33, ,37, ,8, ,35, ,36, ,28, ,0, ,735, ,1611, ,RA FG+ FG BR, ,M, ,M, ,M, ,0.11, ,28.41, ,29.74, ,1.4, ,29, ,3, ,11, ,300, ,9, ,300, 
Last Winter,94239,20151209,52, ,35, ,44, ,15, ,33, ,39, ,21, ,0, ,736, ,1610, ,RA BR, ,M, ,M, ,M, ,0.02, ,28.36, ,29.67, ,8.4, ,30, ,10.6, ,48, ,270, ,36, ,280, 
Last Winter,94239,20151210,40, ,33, ,37, ,8, ,33, ,35, ,28, ,0, ,737, ,1610, ,RA SN FG BR UP, ,M, ,M, ,M, ,0.2, ,28.12, ,29.44, ,1.6, ,30, ,3.1, ,10, ,310, ,9, ,290, 
Last Winter,94239,20151211,40, ,31, ,36, ,7, ,33, ,35, ,29, ,0, ,738, ,1610, ,RA FG+ BR, ,M, ,M, ,M, ,0.01, ,28.38, ,29.7, ,3.4, ,31, ,3.8, ,11, ,320, ,8, ,320, 
Last Winter,94239,20151212,40, ,35, ,38, ,10, ,34, ,36, ,27, ,0, ,739, ,1610, ,RA BR, ,M, ,M, ,M, ,0.2, ,28.35, ,29.68, ,4.7, ,10, ,7.4, ,26, ,120, ,20, ,100, 
Last Winter,94239,20151213,51, ,35, ,43, ,15, ,31, ,37, ,22, ,0, ,740, ,1610, , , ,M, ,M, ,M, ,0, ,28.26, ,29.56, ,1.7, ,35, ,6.2, ,22, ,220, ,16, ,90, 
Last Winter,94239,20151214,47, ,32, ,40, ,12, ,28, ,35, ,25, ,0, ,740, ,1610, , , ,M, ,M, ,M, ,0, ,28.71, ,30.03, ,6.6, ,30, ,7.1, ,18, ,280, ,15, ,290, 
Last Winter,94239,20151215,45, ,27, ,36, ,8, ,26, ,31, ,29, ,0, ,741, ,1611, , , ,M, ,M, ,M, ,0, ,28.82, ,30.17, ,1.6, ,36, ,3.5, ,12, ,290, ,12, ,290, 
Last Winter,94239,20151216,42, ,29, ,36, ,8, ,27, ,32, ,29, ,0, ,742, ,1611, ,SN, ,M, ,M, ,M, ,  T, ,28.84, ,30.18, ,3, ,29, ,4.4, ,21, ,260, ,15, ,260, 
Last Winter,94239,20151217,31, ,28, ,30, ,2, ,26, ,28, ,35, ,0, ,743, ,1611, ,SN BR, ,M, ,M, ,M, ,0.29, ,28.67, ,30.03, ,3.3, ,28, ,3.6, ,9, ,300, ,8, ,270, 
Last Winter,94239,20151218,32, ,21, ,27, ,0, ,24, ,26, ,38, ,0, ,743, ,1611, ,SN FZFG BR, ,M, ,M, ,M, ,0.01, ,28.49, ,29.82, ,2.5, ,30, ,2.8, ,10, ,290, ,9, ,320, 
Last Winter,94239,20151219,31, ,26, ,29, ,2, ,25, ,28, ,36, ,0, ,744, ,1612, ,SN BR, ,M, ,M, ,M, ,  T, ,28.61, ,29.95, ,0.3, ,8, ,1.3, ,14, ,140, ,10, ,90, 
Last Winter,94239,20151220,31, ,18, ,25, ,-2, ,24, ,26, ,40, ,0, ,745, ,1612, ,SN FG+ FZFG BR, ,M, ,M, ,M, ,0.07, ,28.47, ,29.81, ,1.8, ,13, ,3.9, ,14, ,130, ,13, ,130, 
Last Winter,94239,20151221,30, ,20, ,25, ,-2, ,24, ,25, ,40, ,0, ,745, ,1612, ,SN FG+ FZFG BR, ,M, ,M, ,M, ,0.47, ,28.13, ,29.47, ,2.4, ,32, ,3.9, ,15, ,290, ,13, ,280, 
Last Winter,94239,20151222,31, ,21, ,26, ,-1, ,22, ,25, ,39, ,0, ,746, ,1613, ,SN FG+ FZFG BR HZ, ,M, ,M, ,M, ,0.01, ,28.18, ,29.51, ,1, ,6, ,1.9, ,15, ,120, ,8, ,80, 
Last Winter,94239,20151223,29, ,26, ,28, ,1, ,23, ,26, ,37, ,0, ,746, ,1613, , , ,M, ,M, ,M, ,  T, ,28.2, ,29.53, ,1, ,9, ,2, ,11, ,130, ,8, ,90, 
Last Winter,94239,20151224,30, ,22, ,26, ,-1, ,22, ,25, ,39, ,0, ,746, ,1614, , , ,M, ,M, ,M, ,0, ,28.38, ,29.72, ,1, ,1, ,1.9, ,9, ,290, ,7, ,70, 
Last Winter,94239,20151225,28, ,19, ,24, ,-3, ,21, ,24, ,41, ,0, ,747, ,1614, ,BR, ,M, ,M, ,M, ,  T, ,28.9, ,30.26, ,2.8, ,35, ,3.1, ,9, ,280, ,8, ,320, 
